TIME	CCU	CENSUS	*	CPU	DB	IDLEST	*	DBH	DBQ	DBWAIT	*	TCPQ	UDP1Q	UDP2Q	NETFAIL	*	LSTMSG	LSTDB	*	ASYNC	*	DBHS
0506 000025	0	0	 	0	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(1424)	
0506 000030	0	0	 	279	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000035	0	0	 	270	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000040	0	0	 	269	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000045	0	0	 	224	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000050	0	0	 	249	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000055	0	0	 	1174	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000100	0	0	 	824	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000105	0	0	 	733	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000110	0	0	 	1008	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000115	0	0	 	1076	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000120	0	0	 	939	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000125	0	0	 	236	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000130	0	0	 	234	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000135	0	0	 	225	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000140	0	0	 	223	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
